1,Avatar,Yen Bishop, Ingenious Film Partners,2009-12-10,300
2,Pirates of the Caribbean: At World's End,Kathleen Perez, Walt Disney Pictures,2007-05-19,300
3,Spectre,Lance Craig, Columbia Pictures,2015-10-26,300
4,The Dark Knight Rises,Oren Brock, Legendary Pictures,2012-07-16,300
5,John Carter,Kiara Bird, Walt Disney Pictures,2012-03-07,300
6,Spider-Man 3,Chancellor Lloyd, Columbia Pictures,2007-05-01,300
7,Tangled,Imelda Lyons, Walt Disney Pictures,2010-11-24,300
8,Avengers: Age of Ultron,Hayes Ferguson, Marvel Studios,2015-04-22,300
9,Harry Potter and the Half-Blood Prince,Charissa Hurst, Warner Bros.,2009-07-07,300
10,Batman v Superman: Dawn of Justice,Dale Mcleod, DC Comics,2016-03-23,300
11,Superman Returns,Xyla Jordan, DC Comics,2006-06-28,300
12,Quantum of Solace,Porter Cantu, Eon Productions,2008-10-30,300
13,Pirates of the Caribbean: Dead Man's Chest,Alexis Bauer, Walt Disney Pictures,2006-06-20,300
14,The Lone Ranger,Megan Barton, Walt Disney Pictures,2013-07-03,300
15,Man of Steel,Odette Foreman, Legendary Pictures,2013-06-12,300
16,The Chronicles of Narnia: Prince Caspian,Eugenia Pugh, Walt Disney,2008-05-15,300
17,The Avengers,Drake Pena, Paramount Pictures,2012-04-25,300
18,Pirates of the Caribbean: On Stranger Tides,Blake Pierce, Walt Disney Pictures,2011-05-14,300
19,Men in Black 3,Tara Pugh, Amblin Entertainment,2012-05-23,300
20,The Hobbit: The Battle of the Five Armies,Erasmus Cleveland, WingNut Films,2014-12-10,300
21,The Amazing Spider-Man,Wayne Britt, Columbia Pictures,2012-06-27,300
22,Robin Hood,Molly Wilson, Imagine Entertainment,2010-05-12,300
23,The Hobbit: The Desolation of Smaug,Prescott Nguyen, WingNut Films,2013-12-11,300
24,The Golden Compass,Macaulay Green, New Line Cinema,2007-12-04,300
25,King Kong,Kitra Farmer, WingNut Films,2005-12-14,300
26,Titanic,Vivian Pollard, Paramount Pictures,1997-11-18,300
27,Captain America: Civil War,Benjamin Washington, Studio Babelsberg,2016-04-27,300
28,Battleship,Caryn Manning, Universal Pictures,2012-04-11,300
29,Jurassic World,Amos Ryan, Universal Studios,2015-06-09,300
30,Skyfall,McKenzie Melton, Columbia Pictures,2012-10-25,300
31,Spider-Man 2,Jarrod Petersen, Columbia Pictures,2004-06-25,300
32,Iron Man 3,Hilda Booker, Marvel Studios,2013-04-18,300
33,Alice in Wonderland,Brenda Faulkner, Walt Disney Pictures,2010-03-03,300
34,X-Men: The Last Stand,Adele Calhoun, Ingenious Film Partners,2006-05-24,300
35,Monsters University,Shay Yates, Walt Disney Pictures,2013-06-20,300
36,Transformers: Revenge of the Fallen,Riley Blackwell, Paramount Pictures,2009-06-19,300
37,Transformers: Age of Extinction,Diana Dillard, Paramount Pictures,2014-06-25,300
38,Oz: The Great and Powerful,David Carroll, Walt Disney Pictures,2013-03-07,300
39,The Amazing Spider-Man 2,Colleen Lindsay, Columbia Pictures,2014-04-16,300
40,TRON: Legacy,Amos Chavez, Walt Disney Pictures,2010-12-10,300
41,Cars 2,Callie Nixon, Walt Disney Pictures,2011-06-11,300
42,Green Lantern,Grant Harrell, De Line Pictures,2011-06-16,300
43,Toy Story 3,Basia Woodard, Walt Disney Pictures,2010-06-16,300
44,Terminator Salvation,Dane Beard, Columbia Pictures,2009-05-20,300
